
,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.\n
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.\n
Date,Open,High,Low,Close
7/26/2024,15.21,15.56,14.38,14.4
7/29/2024,16.77,16.77,13.51,14.28
7/30/2024,13.99,17.97,13.9,16.64
7/31/2024,14.77,15,13.05,14
8/1/2024,14.12,18.65,13.95,17.55
8/2/2024,22.35,26.39,20.5,23.29
8/5/2024,73.24,73.24,26.53,35.68
8/6/2024,32.09,32.68,24.05,28.42
8/7/2024,22.94,30.36,22.57,27.92
8/8/2024,24.92,27.21,23.74,24.32
8/9/2024,24.46,25.39,20.82,20.96
8/12/2024,26.77,26.77,18.42,20.64
8/13/2024,19.75,20.47,17.97,18.08
8/14/2024,16.95,17.48,15.62,15.65
8/15/2024,14.61,16.17,13.94,14.23
8/16/2024,14.96,15,13.73,14.13
8/19/2024,16.47,16.47,12.98,13.36
8/20/2024,13.74,14.24,13.22,13.91
8/21/2024,14.09,15.15,13.61,14
8/22/2024,13.45,15.48,13.4,14.59
8/23/2024,14.02,14.4,12.72,12.97
8/26/2024,14.88,14.88,12.57,12.75
8/27/2024,13.26,13.82,12.51,12.6
8/28/2024,12.81,15.13,12.8,14.46
8/29/2024,15.44,15.7,14.49,14.67
8/30/2024,14.33,15.41,13.96,14.53
9/3/2024,18.97,22.61,16.03,20.46
9/4/2024,21.91,23.6,19.45,22.66
9/5/2024,21.93,23.29,17.22,20.65
9/6/2024,19.69,25.64,19.57,24.82
9/9/2024,29.23,29.23,21.25,21.98
9/10/2024,21.26,24.17,21.03,21.12
9/11/2024,20.58,23.92,18.32,18.34
9/12/2024,19.21,19.64,17.1,17.51
9/13/2024,17.59,18.28,16.99,17.69
9/16/2024,22.63,22.63,17.93,18.64
9/17/2024,18.49,19.56,18.1,18.79
9/18/2024,19.43,20.35,15.87,19.47
9/19/2024,17.67,18.68,16.74,16.97
9/20/2024,17.56,18.07,17.04,17.51
9/23/2024,20.03,20.03,16.87,17.18
9/24/2024,17.14,18.2,16.03,16.39
9/25/2024,16.23,16.77,15.75,16.33
9/26/2024,16.01,16.92,15.78,15.84
9/27/2024,15.72,18.39,15.56,17.74
9/30/2024,21.51,21.51,16.59,17.07
10/1/2024,17.18,20.93,17.14,19.25
10/2/2024,20.21,21.25,18.71,18.74
10/3/2024,19.67,20.55,18.44,19.83
10/4/2024,18.33,19.52,17.75,18.18
10/7/2024,23.8,23.83,18.54,20.21
10/8/2024,18.76,19.38,17.91,18.48
10/9/2024,18.47,18.83,17.84,18.24
10/10/2024,18.34,18.71,17.64,18.02
10/11/2024,18.08,18.59,17.67,18.17
10/14/2024,20.38,20.38,17.24,17.25
10/15/2024,17.13,18.58,16.9,18.29
10/16/2024,18.23,18.62,17.05,17.05
10/17/2024,16.78,17.21,15.45,15.45
10/18/2024,15.79,16.06,15.18,15.45
10/21/2024,17.24,17.24,15.11,15.11
10/22/2024,16.2,16.35,14.47,14.79
10/23/2024,15.32,17.83,15.2,16.36
10/24/2024,15.8,17.71,15.48,15.66
