
,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.\n
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.\n
Date,Open,High,Low,Close
7/26/2024,17.97,18.05,16.37,16.39
7/29/2024,16.59,17.21,16.23,16.6
7/30/2024,16.64,18.32,16.26,17.69
7/31/2024,16.66,16.77,15.71,16.36
8/1/2024,16.2,19.48,15.95,18.59
8/2/2024,20.52,29.66,20.01,23.39
8/5/2024,23.39,65.73,23.39,38.57
8/6/2024,33.71,34.77,24.02,27.71
8/7/2024,24.77,29.76,21.97,27.85
8/8/2024,28.34,29.47,23.36,23.79
8/9/2024,23.78,24.52,20.26,20.37
8/12/2024,20.79,21.19,18.89,20.71
8/13/2024,20.06,20.79,17.95,18.12
8/14/2024,18.41,18.49,16.12,16.19
8/15/2024,16.27,16.68,14.77,15.23
8/16/2024,15.29,15.76,14.65,14.8
8/19/2024,15.94,16.07,14.46,14.65
8/20/2024,14.89,15.93,14.78,15.88
8/21/2024,16.25,17.17,15.92,16.27
8/22/2024,16.27,18.06,15.76,17.55
8/23/2024,17.12,17.21,15.61,15.86
8/26/2024,16.27,16.67,15.81,16.15
8/27/2024,16.21,16.81,15.37,15.43
8/28/2024,15.51,17.89,15.46,17.11
8/29/2024,16.54,16.57,15.19,15.65
8/30/2024,15.67,16.04,14.78,15
9/2/2024,15.87,15.99,15.48,15.55
9/3/2024,15.76,21.99,15.71,20.72
9/4/2024,23.2,23.31,19.34,21.32
9/5/2024,20.75,21.53,19.21,19.9
9/6/2024,21.98,23.76,18.83,22.38
9/9/2024,21.32,21.41,19.29,19.45
9/10/2024,19.86,20.74,18.9,19.08
9/11/2024,19.41,21.41,17.55,17.69
9/12/2024,17.62,18.59,16.89,17.07
9/13/2024,17.03,17.18,16.23,16.56
9/16/2024,17.16,17.69,16.91,17.14
9/17/2024,17.16,18.08,16.67,17.61
9/18/2024,17.58,19.39,17.11,18.23
9/19/2024,17.21,17.27,16.21,16.33
9/20/2024,16.35,16.68,15.81,16.15
9/23/2024,16.71,16.95,15.75,15.89
9/24/2024,15.87,16.67,15.27,15.39
9/25/2024,15.82,15.82,15.17,15.41
9/26/2024,15.06,15.83,14.9,15.37
9/27/2024,15.64,16.97,15.2,16.96
9/30/2024,17.01,17.79,16.47,16.73
10/1/2024,16.96,20.73,16.61,19.26
10/2/2024,19.65,20.36,18.58,18.9
10/3/2024,19.63,20.75,19.16,20.49
10/4/2024,20.48,20.48,18.48,19.21
10/7/2024,20.76,23.03,20.65,22.64
10/8/2024,22.92,23.14,21.14,21.42
10/9/2024,21.98,22.01,20.71,20.86
10/10/2024,20.91,21.39,20.64,20.93
10/11/2024,20.87,21.16,20.14,20.46
10/14/2024,20.86,20.86,19.69,19.7
10/15/2024,19.61,20.89,19.44,20.64
10/16/2024,20.77,21.01,19.45,19.58
10/17/2024,19.55,19.65,18.88,19.11
10/18/2024,19.3,19.32,17.99,18.03
10/21/2024,18.78,19.34,18.36,18.37
10/22/2024,18.79,19.44,18.05,18.2
10/23/2024,18.21,20.47,18.18,19.24
10/24/2024,18.87,20.24,18.63,19.08
