
,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.\n
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.\n
Date,Open,High,Low,Close
7/26/2024,101.1,101.53,93.87,94.61
7/29/2024,96.35,97.71,92.75,93.51
7/30/2024,92.54,101.85,92.43,99.97
7/31/2024,93.77,95.47,87.98,94.25
8/1/2024,94,117.24,93.31,111.18
8/2/2024,119.84,162.68,119.03,136.81
8/5/2024,136.81,192.49,136.81,173.32
8/6/2024,169.68,170.42,137.05,150.09
8/7/2024,136.43,154.79,129.46,151.24
8/8/2024,144.83,146.39,134.16,134.34
8/9/2024,134.54,135.64,114.12,114.63
8/12/2024,114.9,124.48,107.36,121.94
8/13/2024,118.37,118.74,113.78,113.89
8/14/2024,118.32,118.46,107.46,107.81
8/15/2024,103.59,106.21,100.16,105.42
8/16/2024,108.83,108.83,101.59,103.42
8/19/2024,104.29,104.73,97.18,98.82
8/20/2024,100.58,105.01,99.48,101.74
8/21/2024,101.51,109.11,101.51,106.72
8/22/2024,105.95,116.02,105.33,112.53
8/23/2024,109.41,117.95,99.09,99.22
8/26/2024,101.08,103.44,98.9,100.68
8/27/2024,102.34,103.08,93.35,93.45
8/28/2024,95.78,109.78,95.15,106.32
8/29/2024,99.36,100.28,93.71,97.08
8/30/2024,95.43,98.89,91.46,93.73
9/3/2024,100.28,137.64,100.27,129.79
9/4/2024,134.78,135.69,114.35,123.47
9/5/2024,120.53,123.38,113.61,115.01
9/6/2024,110.72,129.28,106.87,119.33
9/9/2024,117.86,118.65,110.04,110.85
9/10/2024,111,116.65,106.76,107.2
9/11/2024,109.7,120.01,101.69,102.9
9/12/2024,103.6,107.21,101.4,103.94
9/13/2024,104.89,105.65,99.23,101.88
9/16/2024,106,110.98,105.98,106.67
9/17/2024,106.77,109.04,103.56,107.19
9/18/2024,107.87,123.78,101.45,105.43
9/19/2024,100.76,102.06,97.21,97.46
9/20/2024,99.14,99.56,93.65,94.27
9/23/2024,96.22,97.45,93.48,94.41
9/24/2024,94.95,97.34,90.42,90.93
9/25/2024,92.09,93.53,90.34,90.48
9/26/2024,91.79,92.42,89.82,89.86
9/27/2024,90.55,101.75,90.41,101.34
9/30/2024,103.57,105.43,98.92,99.34
10/1/2024,100.41,117.68,100.41,110.14
10/2/2024,112.52,115.63,106.58,107.97
10/3/2024,110.85,115.97,108.31,115.64
10/4/2024,112.95,113.92,109.06,110.63
10/7/2024,115.29,123.37,112.81,122.58
10/8/2024,117.7,117.86,113.32,114.82
10/9/2024,124.23,124.49,118.67,119.36
10/10/2024,119.22,120.51,117.32,117.43
10/11/2024,117.44,118.29,112.97,113.99
10/14/2024,113.93,114.1,107.22,107.22
10/15/2024,105.76,113.62,105.4,112.9
10/16/2024,112.66,115.62,110.98,111.62
10/17/2024,109.44,110.41,105.3,105.89
10/18/2024,104.94,105.1,100.09,100.95
10/21/2024,104.41,106.57,102.79,102.96
10/22/2024,105.28,105.46,99.85,100.5
10/23/2024,101.35,112.51,101.34,108.11
10/24/2024,107.53,112.98,107.53,109.84
